+00238, -01332, +17373, -00606, -00051, -00850
+00219, -01621, +17211, -00764, -00159, -01409
+00011, -01741, +17114, -00968, -00230, -01905
-00243, -01837, +17083, -00979, -00252, -02377
-00446, -01883, +17248, -01103, -00315, -02724
-00637, -01735, +17475, -01284, -00445, -02993
-00714, -01554, +17481, -01392, -00663, -03180
-00652, -01436, +17410, -01435, -00770, -03383
-00678, -01238, +17431, -01461, -00957, -03541
-00771, -01131, +17552, -01584, -01090, -03682
-00767, -00972, +17646, -01459, -01196, -03815
-00829, -00934, +17967, -01292, -01343, -03940
-00915, -00831, +18106, -01147, -01605, -04214
-01145, -00851, +18239, -01078, -01874, -04431
-01116, -01082, +18272, -00937, -02041, -04864
-01039, -01291, +18668, -01002, -02152, -05270
-01087, -01356, +18896, -00954, -02233, -05801
-01293, -01617, +19210, -00775, -02298, -06257
-01255, -01656, +19369, -00560, -02478, -06499
-01278, -01574, +19499, -00114, -02717, -06587
-01138, -01459, +19788, +00303, -02811, -06715
-00890, -01261, +20068, +00687, -02692, -06983
-00805, -01441, +20445, +01057, -02669, -07263
-00735, -01592, +20658, +01345, -02792, -07543
-00508, -01566, +20667, +01647, -02911, -07831
-00079, -01691, +20722, +01847, -02700, -07969
+00241, -01739, +21001, +02075, -02352, -08004
+00511, -01744, +21432, +02320, -02079, -07945
+00809, -01581, +21504, +02569, -01974, -07800
+01287, -01411, +21334, +02814, -01917, -07597
+01874, -01290, +21211, +03184, -01788, -07431
+02375, -01250, +21054, +03654, -01666, -07173
+02724, -01149, +20877, +04178, -01616, -07000
+03083, -01101, +20721, +04997, -01660, -07051
+03623, -01220, +20417, +04406, -01524, -06466
+04234, -01198, +20142, +04446, -01311, -05839
+04586, -01242, +19916, +04427, -01086, -05021
+05106, -00830, +19729, +04374, -00945, -04177
+05448, -00774, +19657, +04305, -00651, -03475
+05718, -00843, +19523, +04324, -00528, -02723
+05918, -00878, +19451, +04373, -00380, -01963
+06099, -00945, +19162, +04423, -00227, -01037
+06272, -00793, +19093, +04504, -00072, -00291
+06257, -00855, +18974, +04435, +00005, +00385
+06255, -01052, +18741, +04239, +00046, +01040
+06232, -01231, +18493, +04529, +00005, +01698
+06190, -01415, +18371, +04642, -00109, +02447
+06158, -01464, +18200, +04706, -00174, +03396
+06211, -01408, +18031, +04717, -00052, +04184
+06062, -01436, +17933, +04572, +00088, +04736
+05959, -01653, +17757, +04455, +00222, +05177
+05775, -02005, +17630, +04429, +00338, +05521
+05447, -02256, +17479, +04177, +00482, +05865
+05181, -02408, +17187, +03883, +00574, +06292
+05012, -02649, +17085, +03801, +00494, +06779
+04754, -02594, +16823, +03448, +00337, +07210
+04508, -02647, +16416, +02967, +00325, +07556
+04301, -02698, +16068, +02419, +00562, +07816
+04027, -02808, +16041, +02035, +00869, +08341
+03780, -02605, +16260, +01855, +00935, +08870
+03520, -02291, +16378, +01598, +01006, +09362
+03402, -01993, +16210, +01217, +01248, +09660
+03000, -02127, +16199, +00860, +01567, +09960
+02653, -02356, +16464, +00537, +01847, +10209
+02137, -02411, +16653, -00048, +02166, +10598
+01601, -02457, +16633, -00197, +02362, +10752
+00882, -02660, +16969, -00193, +02305, +10777
+00217, -02876, +16987, -00395, +02211, +10734
-00174, -03205, +16816, -00548, +02211, +10599
-00571, -03532, +16843, -00566, +02184, +10186
-01205, -03923, +17117, -00603, +02090, +09753
-01807, -04409, +17266, -00875, +02110, +09154
-02462, -04721, +17397, -00985, +02350, +08377
-03133, -05219, +17746, -00577, +02776, +07854
-03639, -05693, +18254, -00801, +03040, +06882
-04049, -05632, +18513, -00850, +02636, +06182
-04733, -05854, +18798, -00507, +02438, +05555
-04503, -06167, +18891, -00084, +02111, +04851
-04975, -05762, +19222, +00465, +01964, +04178
-05100, -05734, +19434, +01038, +01740, +03418
-05309, -05571, +19648, +01881, +01094, +02511
-05373, -05504, +19872, +02225, +00583, +01295
-05293, -05390, +19660, +02291, +00188, +00224
-05283, -05604, +19570, +02662, -00085, -00727
-05325, -05675, +19819, +03018, -00010, -01377
-05223, -05221, +20045, +02914, +00247, -01634
-05042, -04902, +20149, +02495, +00764, -01875
-05246, -04444, +20401, +02574, +01426, -02190
-05651, -04540, +20705, +02567, +01776, -02444
-05666, -04413, +20764, +02645, +01613, -02787
-05660, -04349, +20598, +03296, +01103, -03436
-05445, -04349, +20335, +04032, +00501, -04141
-05065, -04492, +19841, +04503, +00003, -04877
-04879, -04246, +19436, +04798, -00349, -05568
-04910, -04120, +19248, +05225, -00986, -06179
-04786, -04025, +18971, +05698, -01444, -06633
-04571, -03806, +18660, +05902, -01580, -06820
-04390, -03529, +18502, +05526, -01528, -06964
-04304, -03249, +18429, +05327, -01427, -06988
-04190, -03231, +18135, +05271, -01517, -06947
-04039, -03121, +17868, +05274, -01667, -07056
-03741, -03058, +17516, +05219, -01684, -07185
-03434, -03156, +17136, +05170, -01716, -07194
-03170, -03159, +16758, +05293, -01880, -07414
-03044, -03109, +16502, +05296, -02120, -07871
-02667, -03247, +15961, +05234, -02446, -08475
-02242, -03658, +15498, +05169, -02898, -08922
-01794, -03925, +15071, +05128, -03458, -09142
-01199, -03931, +14607, +04903, -03887, -09048
-00547, -03719, +14121, +04202, -03961, -08608
-00086, -03594, +13790, +03605, -03850, -08113
+00362, -03495, +13685, +03065, -03578, -07731
+00770, -03641, +13780, +02187, -03380, -07499
+01151, -03749, +13463, +01679, -03392, -07345
+01483, -04052, +13124, +01402, -03516, -07390
+01824, -04411, +13064, +01213, -03734, -07399
+02134, -04688, +13110, +01180, -03835, -07347
+02575, -05006, +13352, +00938, -03952, -07124
+02936, -05069, +13604, +00714, -03941, -06693
+03351, -05222, +13793, +00305, -03731, -06172
